"student_id"	"course"	"rating"
"202234071301"	"Flink"	"22.2185"
"202234071301"	"Hadoop"	"99.9993"
"202234071301"	"HBase"	"99.9999"
"202234071301"	"Kafka"	"112.74"
"202234071301"	"Spark"	"99.9981"
"202234071302"	"Flink"	"46.8705"
"202234071302"	"Hadoop"	"75.1889"
"202234071302"	"HBase"	"128.331"
"202234071302"	"Hive"	"99.9999"
"202234071302"	"Kafka"	"84.7012"
"202234071302"	"Spark"	"99.9995"
"202234071303"	"Hadoop"	"99.9999"
"202234071303"	"HBase"	"99.9998"
"202234071303"	"Hive"	"99.9997"
"202234071303"	"Kafka"	"132.73"
"202234071303"	"Spark"	"33.5108"
"202234071304"	"Flink"	"27.6301"
"202234071304"	"Hadoop"	"99.9999"
"202234071304"	"HBase"	"14.9597"
"202234071304"	"Hive"	"42.6641"
"202234071304"	"Kafka"	"84.4124"
"202234071304"	"Spark"	"43.0549"
"202234071305"	"Flink"	"99.9998"
"202234071305"	"Hadoop"	"15.8382"
"202234071305"	"HBase"	"-9.81201"
"202234071305"	"Hive"	"0.000106335"
"202234071305"	"Spark"	"1.59858"
"202234071306"	"Flink"	"99.9998"
"202234071306"	"Hadoop"	"80.4745"
"202234071306"	"HBase"	"126.092"
"202234071306"	"Hive"	"110.62"
"202234071306"	"Kafka"	"99.9999"
"202234071306"	"Spark"	"99.9993"
"202234071307"	"Flink"	"99.9999"
"202234071307"	"Hadoop"	"12.6883"
"202234071307"	"HBase"	"58.1467"
"202234071307"	"Hive"	"99.9995"
"202234071307"	"Kafka"	"0.000598907"
"202234071307"	"Spark"	"27.4794"
"202234071308"	"Flink"	"46.8705"
"202234071308"	"Hadoop"	"75.1889"
"202234071308"	"HBase"	"128.331"
"202234071308"	"Hive"	"100"
"202234071308"	"Kafka"	"84.7012"
"202234071308"	"Spark"	"99.9993"
"202234071309"	"Hadoop"	"80.0957"
"202234071309"	"HBase"	"33.4405"
"202234071309"	"Hive"	"51.5108"
"202234071309"	"Kafka"	"99.9999"
"202234071309"	"Spark"	"15.2318"
"202234071310"	"Flink"	"34.051"
"202234071310"	"Hadoop"	"48.9231"
"202234071310"	"HBase"	"117.071"
"202234071310"	"Hive"	"69.9418"
"202234071310"	"Kafka"	"60.4864"
"202234071310"	"Spark"	"99.9997"
"202234071311"	"Flink"	"99.9996"
"202234071311"	"Hadoop"	"99.9997"
"202234071311"	"Hive"	"49.5735"
"202234071311"	"Kafka"	"50"
"202234071311"	"Spark"	"0.924333"
"202234071312"	"Flink"	"46.4346"
"202234071312"	"Hadoop"	"94.2724"
"202234071312"	"HBase"	"100"
"202234071312"	"Hive"	"99.9998"
"202234071312"	"Kafka"	"99.9999"
"202234071312"	"Spark"	"99.9989"
"202234071313"	"Flink"	"19.366"
"202234071313"	"Hadoop"	"99.9999"
"202234071313"	"HBase"	"25.2867"
"202234071313"	"Hive"	"51.0084"
"202234071313"	"Kafka"	"99.9999"
"202234071313"	"Spark"	"37.3146"
"202234071314"	"Flink"	"99.9997"
"202234071314"	"Hadoop"	"99.9998"
"202234071314"	"HBase"	"99.9999"
"202234071314"	"Hive"	"99.9999"
